X.chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr3	172388491	172388744	5984020	5984026	Oligodendrocytes	chr3:172388491-172388744	6CpGs	253bp	0.0658	0.933	0.867	0.685	0.475	1.81e-77	U
chr3	172436026	172436158	5984390	5984393	Head_Neck_Epithelium	chr3:172436026-172436158	3CpGs	132bp	0.091	0.878	0.787	0.542	0.194	1.95e-87	U
chr3	172442420	172443225	5984438	5984441	Pancreas_Delta_cells	chr3:172442420-172443225	3CpGs	805bp	0.316	0.859	0.543	0.284	0.153	2.22e-21	U
chr3	172680659	172681061	5986758	5986766	Head_Neck_Epithelium	chr3:172680659-172681061	8CpGs	402bp	0.182	0.927	0.745	0.505	-0.0159	7.43e-89	U
chr3	172775880	172776358	5987837	5987843	Liver_Hepatocytes	chr3:172775880-172776358	6CpGs	478bp	0.129	0.929	0.8	0.719	0.315	1.22e-90	U
chr3	172817965	172818102	5988107	5988110	Lung_Alveolar_Epithelium	chr3:172817965-172818102	3CpGs	137bp	0.0931	0.921	0.828	0.647	0.329	3.23e-57	U
chr3	172923024	172923329	5988853	5988858	Pancreas_Beta_cells	chr3:172923024-172923329	5CpGs	305bp	0.0723	0.904	0.832	0.558	0.301	8.07e-33	U
chr3	173718045	173718107	5993674	5993677	Fallopian_Epithelium	chr3:173718045-173718107	3CpGs	62bp	0.162	0.911	0.749	0.518	-0.00603	4.48e-31	U
chr3	173914586	173914754	5994776	5994779	Gallbladder_epithelium	chr3:173914586-173914754	3CpGs	168bp	0.0536	0.872	0.818	0.615	0.412	4.36e-192	U
chr3	174417658	174417791	5997774	5997777	Monocytes_Macrophages	chr3:174417658-174417791	3CpGs	133bp	0.138	0.873	0.735	0.442	-0.379	2.43e-40	U
chr3	177015965	177016376	6013867	6013874	Lung_Alveolar_Epithelium	chr3:177015965-177016376	7CpGs	411bp	0.101	0.891	0.79	0.537	0.291	2.23e-50	U
chr3	177139287	177139450	6014888	6014896	Blood_T_cells	chr3:177139287-177139450	8CpGs	163bp	0.0763	0.886	0.81	0.631	-0.168	2.15e-79	U
chr3	177272088	177272469	6017013	6017026	Heart_Cardiomyocytes	chr3:177272088-177272469	13CpGs	381bp	0.128	0.952	0.824	0.701	0.624	1.63e-134	U
chr3	177318234	177318850	6017687	6017699	Blood_B_cells	chr3:177318234-177318850	12CpGs	616bp	0.17	0.931	0.761	0.502	0.222	5.71e-63	U
chr3	177434226	177434356	6019103	6019107	Bladder_Epithelial_cells	chr3:177434226-177434356	4CpGs	130bp	0.138	0.887	0.749	0.516	0.261	4.02e-50	U
chr3	177578608	177578784	6020424	6020428	Blood_B_cells	chr3:177578608-177578784	4CpGs	176bp	0.0922	0.933	0.84	0.6	0.348	4.79e-65	U
chr3	177594024	177594222	6020566	6020571	Bladder_Epithelial_cells	chr3:177594024-177594222	5CpGs	198bp	0.314	0.907	0.593	0.398	-0.00122	4.58e-44	U
chr3	178770158	178770504	6027864	6027867	Epidermal_Keratinocytes	chr3:178770158-178770504	3CpGs	346bp	0.092	0.899	0.807	0.539	0.411	3.59e-204	U
chr3	179437479	179437513	6033789	6033792	Monocytes_Macrophages	chr3:179437479-179437513	3CpGs	34bp	0.214	0.937	0.723	0.547	-0.521	3.6e-47	U
chr3	179578551	179578835	6035307	6035314	Oligodendrocytes	chr3:179578551-179578835	7CpGs	284bp	0.074	0.906	0.832	0.645	0.343	8.98e-66	U
chr3	179731382	179731801	6037266	6037277	Lung_Alveolar_Epithelium	chr3:179731382-179731801	11CpGs	419bp	0.048	0.92	0.872	0.63	0.362	3.59e-60	U
chr3	179770636	179770836	6037683	6037689	Colon_Epithelium	chr3:179770636-179770836	6CpGs	200bp	0.164	0.944	0.78	0.579	0.238	3.56e-98	U
chr3	182524466	182524511	6057567	6057571	Head_Neck_Epithelium	chr3:182524466-182524511	4CpGs	45bp	0.155	0.901	0.746	0.587	-0.259	4.1e-73	U
chr3	182720462	182720608	6058956	6058965	Gastric_Epithelium	chr3:182720462-182720608	9CpGs	146bp	0.0532	0.891	0.838	0.604	0.349	1.08e-83	U
chr3	182939089	182939244	6060947	6060953	Prostate_Epithelium	chr3:182939089-182939244	6CpGs	155bp	0.306	0.91	0.604	0.259	-0.0394	1.52e-31	U
chr3	182961164	182961531	6061133	6061140	Pancreas_Duct_cells	chr3:182961164-182961531	7CpGs	367bp	0.37	0.919	0.549	0.417	0.204	3.52e-52	U
chr3	183152401	183152612	6063594	6063601	Lung_Alveolar_Epithelium	chr3:183152401-183152612	7CpGs	211bp	0.0709	0.886	0.815	0.647	0.455	3.29e-64	U
chr3	183182447	183182587	6064150	6064154	Breast_Luminal_Epithelium	chr3:183182447-183182587	4CpGs	140bp	0.267	0.856	0.588	0.313	-0.242	1.45e-18	U
chr3	183192610	183193174	6064299	6064307	Pancreas_Delta_cells	chr3:183192610-183193174	8CpGs	564bp	0.324	0.936	0.612	0.416	0.211	7.72e-55	U
chr3	183257692	183257811	6065101	6065104	Monocytes_Macrophages	chr3:183257692-183257811	3CpGs	119bp	0.304	0.929	0.625	0.436	0.144	3.62e-90	U
chr3	183268752	183268880	6065223	6065227	Lung_Bronchial_Epithelium	chr3:183268752-183268880	4CpGs	128bp	0.175	0.909	0.735	0.478	-0.029	1.54e-30	U
chr3	183281524	183281742	6065362	6065366	Bone_Osteoblasts	chr3:183281524-183281742	4CpGs	218bp	0.0612	0.897	0.836	0.697	0.446	2.72e-233	U
chr3	183427419	183427439	6066852	6066856	Neurons	chr3:183427419-183427439	4CpGs	20bp	0.179	0.895	0.717	0.566	-0.467	9.94e-52	U
chr3	183440818	183440882	6067122	6067125	Monocytes_Macrophages	chr3:183440818-183440882	3CpGs	64bp	0.152	0.877	0.726	0.474	-0.315	1.72e-49	U
chr3	183474306	183474374	6067573	6067576	Adipocytes	chr3:183474306-183474374	3CpGs	68bp	0.291	0.907	0.616	0.321	0.162	3.57e-22	U
chr3	183685426	183685737	6070459	6070463	Pancreas_Delta_cells	chr3:183685426-183685737	4CpGs	311bp	0.384	0.902	0.518	0.265	0.196	2.44e-26	U
chr3	183690345	183690669	6070514	6070526	Thyroid_Epithelium	chr3:183690345-183690669	12CpGs	324bp	0.188	0.935	0.747	0.641	0.535	3.07e-81	U
chr3	183731169	183731319	6071253	6071256	Small_intestine_Epithelium	chr3:183731169-183731319	3CpGs	150bp	0.213	0.921	0.708	0.477	0.299	7.97e-55	U
chr3	183799901	183800128	6072227	6072240	Oligodendrocytes	chr3:183799901-183800128	13CpGs	227bp	0.174	0.942	0.768	0.648	0.486	2.23e-98	U
chr3	183810682	183811381	6072412	6072430	Pancreas_Acinar_cells	chr3:183810682-183811381	18CpGs	699bp	0.128	0.927	0.799	0.661	0.16	1.04e-57	U
chr3	183876777	183877010	6073492	6073498	Monocytes_Macrophages	chr3:183876777-183877010	6CpGs	233bp	0.119	0.902	0.784	0.552	-0.36	1.34e-49	U
chr3	183944971	183945293	6074667	6074673	Blood_Granulocytes	chr3:183944971-183945293	6CpGs	322bp	0.0263	0.89	0.863	0.593	0.474	8.46e-43	U
chr3	184253554	184254501	6079874	6079891	Thyroid_Epithelium	chr3:184253554-184254501	17CpGs	947bp	0.121	0.922	0.801	0.694	0.529	3.6e-87	U
chr3	184254520	184254630	6079891	6079899	Thyroid_Epithelium	chr3:184254520-184254630	8CpGs	110bp	0.146	0.876	0.73	0.617	0.499	3.46e-69	U
chr3	184275553	184275581	6080443	6080447	Neurons	chr3:184275553-184275581	4CpGs	28bp	0.272	0.863	0.59	0.387	-0.581	1.09e-38	U
chr3	184284456	184284530	6080634	6080638	Monocytes_Macrophages	chr3:184284456-184284530	4CpGs	74bp	0.189	0.907	0.717	0.446	0.0558	2.23e-77	U
chr3	184339895	184340296	6081903	6081909	Neurons	chr3:184339895-184340296	6CpGs	401bp	0.232	0.886	0.654	0.402	-0.0628	5.04e-58	U
chr3	184342410	184342558	6081945	6081949	Gallbladder_epithelium	chr3:184342410-184342558	4CpGs	148bp	0.0397	0.884	0.844	0.626	0.376	1.12e-204	U
chr3	184353048	184353180	6082135	6082138	Gallbladder_epithelium	chr3:184353048-184353180	3CpGs	132bp	0.05	0.852	0.802	0.634	0.547	2.09e-211	U
chr3	184353323	184353903	6082139	6082157	Gallbladder_epithelium	chr3:184353323-184353903	18CpGs	580bp	0.0759	0.917	0.841	0.765	0.706	4.33e-288	U
chr3	184354096	184354118	6082159	6082162	Gallbladder_epithelium	chr3:184354096-184354118	3CpGs	22bp	0.189	0.916	0.727	0.629	0.55	6.22e-245	U
chr3	184354796	184355035	6082181	6082185	Gallbladder_epithelium	chr3:184354796-184355035	4CpGs	239bp	0.229	0.928	0.699	0.616	0.445	4.87e-258	U
chr3	184553081	184553238	6085529	6085536	Thyroid_Epithelium	chr3:184553081-184553238	7CpGs	157bp	0.091	0.899	0.808	0.618	0.488	1.88e-52	U
chr3	184667611	184667680	6087779	6087783	Breast_Basal_Epithelium	chr3:184667611-184667680	4CpGs	69bp	0.218	0.92	0.702	0.515	0.00662	4.78e-45	U
chr3	184848713	184848903	6090182	6090189	Bladder_Epithelial_cells	chr3:184848713-184848903	7CpGs	190bp	0.171	0.915	0.744	0.458	0.235	2.41e-52	U
chr3	184849088	184849373	6090190	6090194	Bladder_Epithelial_cells	chr3:184849088-184849373	4CpGs	285bp	0.114	0.918	0.805	0.612	0.158	1.31e-50	U
chr3	184862225	184862816	6090268	6090272	Ovary_Endometrial_Epithelium	chr3:184862225-184862816	4CpGs	591bp	0.182	0.876	0.694	0.36	-0.42	2.28e-23	U
chr3	184910709	184910772	6090591	6090595	Small_intestine_Epithelium	chr3:184910709-184910772	4CpGs	63bp	0.0794	0.919	0.84	0.628	0.186	1.81e-61	U
chr3	184919844	184920577	6090671	6090679	Small_intestine_Epithelium	chr3:184919844-184920577	8CpGs	733bp	0.037	0.932	0.895	0.572	0.378	9.59e-56	U
chr3	185013891	185014398	6091404	6091410	Bladder_Epithelial_cells	chr3:185013891-185014398	6CpGs	507bp	0.205	0.91	0.705	0.464	0.0714	2.45e-47	U
chr3	185107134	185107407	6092472	6092478	Ovary_Endometrial_Epithelium	chr3:185107134-185107407	6CpGs	273bp	0.225	0.87	0.645	0.369	-0.225	5.21e-23	U
chr3	185252130	185252394	6094044	6094055	Liver_Hepatocytes	chr3:185252130-185252394	11CpGs	264bp	0.0889	0.923	0.834	0.667	0.0228	1.52e-65	U
chr3	185327438	185327805	6094858	6094867	Small_intestine_Epithelium	chr3:185327438-185327805	9CpGs	367bp	0.308	0.945	0.637	0.472	0.277	2.13e-84	U
chr3	185577707	185577768	6097857	6097863	Monocytes_Macrophages	chr3:185577707-185577768	6CpGs	61bp	0.239	0.917	0.678	0.455	-0.358	1.31e-55	U
chr3	185645759	185645907	6098932	6098937	Breast_Basal_Epithelium	chr3:185645759-185645907	5CpGs	148bp	0.0632	0.852	0.789	0.583	0.119	2.49e-37	U
chr3	185649428	185649601	6099010	6099015	Monocytes_Macrophages	chr3:185649428-185649601	5CpGs	173bp	0.177	0.878	0.701	0.468	0.148	3.34e-72	U
chr3	185685272	185685775	6099393	6099399	Monocytes_Macrophages	chr3:185685272-185685775	6CpGs	503bp	0.22	0.918	0.699	0.465	0.135	5.36e-89	U
chr3	185801898	185803079	6100646	6100655	Pancreas_Beta_cells	chr3:185801898-185803079	9CpGs	1181bp	0.23	0.887	0.657	0.516	0.475	1.67e-50	U
chr3	185834341	185834420	6101259	6101267	Ovary_Endometrial_Epithelium	chr3:185834341-185834420	8CpGs	79bp	0.307	0.911	0.604	0.412	-0.356	2.81e-42	U
chr3	185847428	185847589	6101409	6101416	Breast_Luminal_Epithelium	chr3:185847428-185847589	7CpGs	161bp	0.328	0.88	0.553	0.326	-0.304	8.09e-13	U
chr3	185897024	185897082	6102052	6102055	Bone_Osteoblasts	chr3:185897024-185897082	3CpGs	58bp	0.0556	0.836	0.78	0.572	0.362	9.95e-193	U
chr3	185979721	185979907	6103214	6103217	Erythrocyte_progenitors	chr3:185979721-185979907	3CpGs	186bp	0.0321	0.882	0.85	0.609	0.411	8.71e-35	U
chr3	186027520	186027615	6103763	6103770	Fallopian_Epithelium	chr3:186027520-186027615	7CpGs	95bp	0.106	0.915	0.809	0.551	0.149	2.4e-44	U
chr3	186053646	186054064	6104063	6104067	Neurons	chr3:186053646-186054064	4CpGs	418bp	0.298	0.883	0.585	0.375	-0.0826	1.66e-55	U
chr3	186554036	186554349	6109570	6109576	Colon_Epithelium	chr3:186554036-186554349	6CpGs	313bp	0.169	0.941	0.771	0.62	0.272	4.24e-102	U
chr3	186558779	186559025	6109623	6109630	Erythrocyte_progenitors	chr3:186558779-186559025	7CpGs	246bp	0.127	0.938	0.81	0.711	0.576	4.7e-95	U
chr3	186999165	186999241	6115601	6115606	Lung_Bronchial_Epithelium	chr3:186999165-186999241	5CpGs	76bp	0.218	0.918	0.7	0.476	0.134	2.06e-47	U
chr3	187841063	187841556	6122910	6122923	Head_Neck_Epithelium	chr3:187841063-187841556	13CpGs	493bp	0.196	0.922	0.726	0.587	0.031	2.34e-93	U
chr3	187912686	187912766	6123492	6123497	Lung_Bronchial_Epithelium	chr3:187912686-187912766	5CpGs	80bp	0.0717	0.911	0.839	0.574	0.199	5.95e-37	U
chr3	188770247	188770393	6130649	6130657	Ovary_Endometrial_Epithelium	chr3:188770247-188770393	8CpGs	146bp	0.206	0.918	0.712	0.408	-0.245	1.36e-30	U
chr3	188802510	188802772	6130922	6130930	Colon_Epithelium	chr3:188802510-188802772	8CpGs	262bp	0.0488	0.92	0.871	0.689	-0.0127	2.04e-56	U
chr3	188961898	188962308	6132289	6132294	Breast_Basal_Epithelium	chr3:188961898-188962308	5CpGs	410bp	0.173	0.932	0.759	0.606	0.365	9.18e-78	U
chr3	189598449	189598733	6136629	6136633	Gastric_Epithelium	chr3:189598449-189598733	4CpGs	284bp	0.0353	0.898	0.863	0.583	0.307	1.85e-79	U
chr3	189780828	189781033	6137736	6137740	Skeletal-Muscle	chr3:189780828-189781033	4CpGs	205bp	0.351	0.895	0.544	0.237	0.0882	1.44e-13	U
chr3	189963155	189963208	6139286	6139289	Breast_Basal_Epithelium	chr3:189963155-189963208	3CpGs	53bp	0.0949	0.867	0.772	0.538	0.104	2.67e-36	U
chr3	189986306	189986383	6139513	6139519	Bladder_Epithelial_cells	chr3:189986306-189986383	6CpGs	77bp	0.0572	0.915	0.857	0.609	0.358	1.44e-60	U
chr3	189986481	189986577	6139520	6139526	Bladder_Epithelial_cells	chr3:189986481-189986577	6CpGs	96bp	0.105	0.93	0.825	0.612	0.209	5.77e-71	U
chr3	190251821	190252426	6141790	6141795	Heart_Fibroblasts	chr3:190251821-190252426	5CpGs	605bp	0.284	0.911	0.627	0.379	0.231	1.39e-46	U
chr3	190399231	190399405	6142746	6142755	Head_Neck_Epithelium	chr3:190399231-190399405	9CpGs	174bp	0.195	0.893	0.699	0.573	-0.221	1.14e-78	U
chr3	190532684	190532715	6143857	6143860	Head_Neck_Epithelium	chr3:190532684-190532715	3CpGs	31bp	0.25	0.913	0.663	0.531	-0.744	2.26e-54	U
chr3	190845749	190845802	6146153	6146158	Lung_Bronchial_Epithelium	chr3:190845749-190845802	5CpGs	53bp	0.19	0.889	0.699	0.433	0.0936	2.58e-28	U
chr3	191224099	191224207	6148790	6148795	Head_Neck_Epithelium	chr3:191224099-191224207	5CpGs	108bp	0.157	0.929	0.772	0.58	-0.0451	6.12e-94	U
chr3	193060579	193060697	6162826	6162831	Kidney_Epithelium	chr3:193060579-193060697	5CpGs	118bp	0.247	0.93	0.683	0.423	0.317	1.13e-81	U
chr3	193688206	193688588	6167555	6167563	Erythrocyte_progenitors	chr3:193688206-193688588	8CpGs	382bp	0.269	0.953	0.684	0.627	0.452	3.86e-121	U
chr3	193825503	193825651	6169060	6169067	Erythrocyte_progenitors	chr3:193825503-193825651	7CpGs	148bp	0.0497	0.902	0.852	0.669	0.149	8.27e-45	U
chr3	193869392	193869492	6169524	6169531	Gallbladder_epithelium	chr3:193869392-193869492	7CpGs	100bp	0.0264	0.911	0.884	0.664	0.345	8.73e-214	U
chr3	193890552	193890701	6169854	6169857	Colon_Epithelium	chr3:193890552-193890701	3CpGs	149bp	0.0425	0.912	0.87	0.599	0.0761	1.25e-54	U
chr3	193906575	193906666	6170064	6170068	Lung_Alveolar_Epithelium	chr3:193906575-193906666	4CpGs	91bp	0.0649	0.912	0.847	0.634	0.136	2.4e-53	U
chr3	194197921	194198741	6174184	6174196	Thyroid_Epithelium	chr3:194197921-194198741	12CpGs	820bp	0.0571	0.891	0.834	0.612	0.232	1.79e-35	U
chr3	194263892	194264001	6175085	6175089	Breast_Basal_Epithelium	chr3:194263892-194264001	4CpGs	109bp	0.103	0.905	0.802	0.562	0.00848	1.75e-34	U
chr3	194278643	194278888	6175423	6175428	Breast_Luminal_Epithelium	chr3:194278643-194278888	5CpGs	245bp	0.366	0.892	0.526	0.29	0.213	2.3e-23	U
chr3	194351148	194351338	6176839	6176852	Liver_Hepatocytes	chr3:194351148-194351338	13CpGs	190bp	0.0725	0.918	0.845	0.688	0.134	4.75e-80	U
chr3	194408959	194409255	6177996	6178001	Thyroid_Epithelium	chr3:194408959-194409255	5CpGs	296bp	0.0686	0.939	0.87	0.694	0.599	9.23e-71	U
chr3	194461508	194462044	6178487	6178490	Pancreas_Duct_cells	chr3:194461508-194462044	3CpGs	536bp	0.149	0.922	0.773	0.506	-0.141	2.93e-27	U
chr3	194464195	194464359	6178512	6178518	Gastric_Epithelium	chr3:194464195-194464359	6CpGs	164bp	0.197	0.926	0.73	0.581	0.335	4.91e-106	U
chr3	194599189	194599289	6180580	6180584	Dermal_Fibroblasts	chr3:194599189-194599289	4CpGs	100bp	0.265	0.889	0.624	0.338	-0.151	4e-156	U
chr3	194696399	194696535	6182662	6182667	Blood_B_cells	chr3:194696399-194696535	5CpGs	136bp	0.112	0.859	0.746	0.548	0.437	2.06e-49	U
chr3	194750524	194750671	6183383	6183386	Fallopian_Epithelium	chr3:194750524-194750671	3CpGs	147bp	0.0315	0.862	0.83	0.635	-0.0359	2.55e-32	U
chr3	194750684	194751014	6183387	6183392	Fallopian_Epithelium	chr3:194750684-194751014	5CpGs	330bp	0.0344	0.887	0.852	0.597	-0.000497	6.99e-33	U
chr3	194751127	194751223	6183395	6183401	Ovary_Endometrial_Epithelium	chr3:194751127-194751223	6CpGs	96bp	0.275	0.918	0.643	0.344	-0.0803	2.59e-32	U
chr3	194861210	194861253	6184927	6184930	Breast_Luminal_Epithelium	chr3:194861210-194861253	3CpGs	43bp	0.292	0.9	0.608	0.307	0.00521	2.85e-28	U
chr3	195246779	195246959	6190943	6190950	Neurons	chr3:195246779-195246959	7CpGs	180bp	0.296	0.93	0.634	0.386	-0.105	2.77e-73	U
chr3	195306424	195306592	6192011	6192015	Head_Neck_Epithelium	chr3:195306424-195306592	4CpGs	168bp	0.205	0.952	0.747	0.72	-0.0116	1.29e-91	U
chr3	195351156	195351364	6192420	6192427	Gallbladder_epithelium	chr3:195351156-195351364	7CpGs	208bp	0.133	0.915	0.782	0.66	0.515	8.99e-253	U
chr3	195511080	195511335	6194080	6194087	Fallopian_Epithelium	chr3:195511080-195511335	7CpGs	255bp	0.0665	0.936	0.869	0.558	0.213	2.28e-37	U
chr3	195539980	195540048	6194373	6194376	Blood_T_cells	chr3:195539980-195540048	3CpGs	68bp	0.271	0.91	0.638	0.401	0.0721	1.55e-91	U
chr3	195549860	195550012	6194601	6194604	Blood_T_cells	chr3:195549860-195550012	3CpGs	152bp	0.124	0.898	0.774	0.459	-0.126	1.87e-79	U
chr3	195570697	195571127	6194896	6194908	Heart_Cardiomyocytes	chr3:195570697-195571127	12CpGs	430bp	0.143	0.917	0.774	0.647	0.393	3.96e-94	U
chr3	195864386	195864486	6201468	6201474	Pancreas_Delta_cells	chr3:195864386-195864486	6CpGs	100bp	0.122	0.899	0.777	0.507	-0.0418	1.3e-25	U
chr3	195982807	195983029	6204673	6204687	Thyroid_Epithelium	chr3:195982807-195983029	14CpGs	222bp	0.175	0.942	0.768	0.656	0.485	2.91e-104	U
chr3	196062748	196062879	6206106	6206109	Erythrocyte_progenitors	chr3:196062748-196062879	3CpGs	131bp	0.15	0.91	0.76	0.596	-0.0583	3.88e-37	U
chr3	196109499	196109716	6206903	6206910	Lung_Bronchial_Epithelium	chr3:196109499-196109716	7CpGs	217bp	0.244	0.893	0.649	0.429	0.0659	1.19e-28	U
chr3	196162533	196162861	6207964	6207973	Pancreas_Acinar_cells	chr3:196162533-196162861	9CpGs	328bp	0.205	0.92	0.715	0.618	0.149	2.06e-70	U
chr3	196247245	196247299	6209933	6209936	Blood_Granulocytes	chr3:196247245-196247299	3CpGs	54bp	0.0276	0.905	0.877	0.626	0.103	4.37e-36	U
chr3	196263537	196263702	6210158	6210165	Oligodendrocytes	chr3:196263537-196263702	7CpGs	165bp	0.149	0.928	0.779	0.635	0.442	1.12e-82	U
chr3	196263756	196263924	6210165	6210174	Colon_Epithelium	chr3:196263756-196263924	9CpGs	168bp	0.231	0.946	0.715	0.583	0.31	1e-106	U
chr3	196265998	196266300	6210209	6210221	Colon_Epithelium	chr3:196265998-196266300	12CpGs	302bp	0.13	0.948	0.817	0.686	0.469	3.88e-128	U
chr3	196321318	196321518	6211201	6211206	Monocytes_Macrophages	chr3:196321318-196321518	5CpGs	200bp	0.246	0.927	0.682	0.429	-0.281	3.34e-54	U
chr3	196343154	196343215	6211642	6211646	Breast_Luminal_Epithelium	chr3:196343154-196343215	4CpGs	61bp	0.294	0.918	0.624	0.322	-0.036	2.4e-33	U
chr3	196373309	196373477	6212037	6212043	Pancreas_Beta_cells	chr3:196373309-196373477	6CpGs	168bp	0.0703	0.94	0.87	0.761	0.547	1.98e-79	U
chr3	196601747	196601885	6215859	6215863	Blood_Granulocytes	chr3:196601747-196601885	4CpGs	138bp	0.0691	0.899	0.829	0.534	0.375	1.66e-37	U
chr3	196621773	196621882	6216175	6216178	Monocytes_Macrophages	chr3:196621773-196621882	3CpGs	109bp	0.187	0.911	0.724	0.451	-0.43	9.2e-47	U
chr3	196624936	196625300	6216227	6216242	Monocytes_Macrophages	chr3:196624936-196625300	15CpGs	364bp	0.121	0.92	0.799	0.61	-0.341	1.28e-55	U
chr3	196644698	196644751	6216678	6216682	Blood_NK_cells	chr3:196644698-196644751	4CpGs	53bp	0.307	0.917	0.611	0.312	0.174	7.25e-34	U
chr3	196708866	196708959	6217944	6217949	Head_Neck_Epithelium	chr3:196708866-196708959	5CpGs	93bp	0.264	0.914	0.65	0.508	-0.124	4.32e-80	U
chr3	196757731	196757871	6218809	6218817	Oligodendrocytes	chr3:196757731-196757871	8CpGs	140bp	0.0906	0.925	0.835	0.715	0.486	5.17e-94	U
chr3	196825125	196825333	6219850	6219855	Kidney_Epithelium	chr3:196825125-196825333	5CpGs	208bp	0.238	0.933	0.695	0.412	0.121	3.32e-66	U
chr3	196916864	196917121	6221218	6221224	Thyroid_Epithelium	chr3:196916864-196917121	6CpGs	257bp	0.088	0.951	0.863	0.735	0.661	9.42e-114	U
chr3	197057368	197057494	6224360	6224367	Pancreas_Alpha_cells	chr3:197057368-197057494	7CpGs	126bp	0.243	0.906	0.663	0.364	0.103	2.48e-29	U
chr3	197135195	197135545	6225019	6225025	Epidermal_Keratinocytes	chr3:197135195-197135545	6CpGs	350bp	0.185	0.908	0.723	0.452	0.344	2.2e-182	U
chr3	197200930	197201106	6225515	6225520	Monocytes_Macrophages	chr3:197200930-197201106	5CpGs	176bp	0.24	0.908	0.668	0.476	-0.348	5.73e-54	U
chr3	197443323	197443622	6228531	6228539	Lung_Alveolar_Epithelium	chr3:197443323-197443622	8CpGs	299bp	0.111	0.899	0.788	0.544	0.211	2.66e-49	U
chr3	197443676	197443753	6228540	6228544	Lung_Alveolar_Epithelium	chr3:197443676-197443753	4CpGs	77bp	0.0763	0.911	0.834	0.644	-0.0514	4.42e-38	U
chr3	197444124	197444335	6228544	6228549	Erythrocyte_progenitors	chr3:197444124-197444335	5CpGs	211bp	0.0926	0.896	0.804	0.612	0.376	5.84e-45	U
chr3	197485683	197486111	6229175	6229182	Pancreas_Beta_cells	chr3:197485683-197486111	7CpGs	428bp	0.125	0.904	0.78	0.488	0.392	3.1e-36	U
chr3	197544972	197545458	6230295	6230305	Blood_Granulocytes	chr3:197544972-197545458	10CpGs	486bp	0.0385	0.891	0.853	0.556	0.289	1.95e-31	U
chr3	197556646	197557074	6230615	6230628	Erythrocyte_progenitors	chr3:197556646-197557074	13CpGs	428bp	0.143	0.913	0.771	0.685	0.582	1.2e-90	U
chr3	197675038	197675337	6232928	6232945	Small_intestine_Epithelium	chr3:197675038-197675337	17CpGs	299bp	0.0788	0.924	0.845	0.551	0.262	6.74e-52	U
chr3	197680833	197680936	6233080	6233084	Pancreas_Acinar_cells	chr3:197680833-197680936	4CpGs	103bp	0.107	0.903	0.796	0.634	0.123	2.75e-42	U
chr3	197681242	197681942	6233089	6233108	Pancreas_Acinar_cells	chr3:197681242-197681942	19CpGs	700bp	0.114	0.944	0.83	0.74	0.603	5.25e-120	U
chr3	197720796	197720969	6233705	6233710	Monocytes_Macrophages	chr3:197720796-197720969	5CpGs	173bp	0.282	0.954	0.672	0.463	0.091	3.93e-101	U
chr3	197734210	197734597	6233919	6233929	Blood_B_cells	chr3:197734210-197734597	10CpGs	387bp	0.145	0.912	0.766	0.538	0.394	1.04e-78	U
chr3	197869190	197869432	6236046	6236054	Blood_T_cells	chr3:197869190-197869432	8CpGs	242bp	0.27	0.941	0.671	0.413	0.197	6.61e-114	U
chr3	197888378	197889069	6236369	6236374	Lung_Bronchial_Epithelium	chr3:197888378-197889069	5CpGs	691bp	0.22	0.911	0.692	0.436	0.0605	3.37e-31	U
chr3	197890877	197890950	6236391	6236395	Liver_Hepatocytes	chr3:197890877-197890950	4CpGs	73bp	0.12	0.911	0.791	0.648	0.242	1.67e-81	U
chr3	198160819	198161469	6240174	6240186	Breast_Luminal_Epithelium	chr3:198160819-198161469	12CpGs	650bp	0.326	0.852	0.525	0.237	0.126	6.28e-22	U
chr4	234844	234903	6243335	6243338	Blood_NK_cells	chr4:234844-234903	3CpGs	59bp	0.184	0.9	0.716	0.384	0.132	3.6e-31	U
chr4	526785	527704	6247242	6247271	Pancreas_Beta_cells	chr4:526785-527704	29CpGs	919bp	0.321	0.94	0.618	0.482	-0.0426	1.08e-43	U
chr4	720661	720751	6252451	6252467	Head_Neck_Epithelium	chr4:720661-720751	16CpGs	90bp	0.223	0.933	0.71	0.506	-0.233	3.25e-87	U
chr4	724621	724838	6252684	6252695	Colon_Epithelium	chr4:724621-724838	11CpGs	217bp	0.0953	0.93	0.835	0.635	-0.0486	5.35e-42	U
chr4	752255	752595	6253870	6253881	Neurons	chr4:752255-752595	11CpGs	340bp	0.356	0.924	0.568	0.458	-0.211	1.24e-71	U
chr4	879125	879278	6257934	6257941	Blood_T_cells	chr4:879125-879278	7CpGs	153bp	0.0705	0.891	0.821	0.647	-0.0988	4.17e-90	U
chr4	879424	879762	6257941	6257949	Blood_T_cells	chr4:879424-879762	8CpGs	338bp	0.0861	0.872	0.786	0.566	0.143	6.14e-105	U
chr4	934349	934405	6259859	6259863	Monocytes_Macrophages	chr4:934349-934405	4CpGs	56bp	0.171	0.913	0.742	0.538	-0.294	7.17e-63	U
chr4	957443	957673	6260436	6260441	Neurons	chr4:957443-957673	5CpGs	230bp	0.337	0.868	0.531	0.309	-0.0619	1.95e-55	U
chr4	980688	980960	6261511	6261518	Erythrocyte_progenitors	chr4:980688-980960	7CpGs	272bp	0.044	0.876	0.832	0.643	0.418	6.19e-50	U
